year,articlestot
2014,35278
2013,33665
2012,29979
2011,28858
2010,28809
2009,27931
2008,28014
2007,26334
2006,26181
2005,25590
2004,22424
2003,21101
2002,18098
2001,17736
2000,17799
1999,19032
1998,15604
1997,13511
1996,11465
1995,8354
1994,8296
1993,8095
1992,7550
1991,7085
1990,7403
1989,7269
1988,7696
1987,8227
1986,6666
1985,8567
1984,8119
1983,5884
1982,5380
1981,7560
1980,5762
1979,5504
1978,6734
1977,6388
1976,5266
1975,5771
1974,6420
1973,6230
1972,6052
1971,7050
1970,6351
1969,5884
1968,5923
1967,6210
1966,6328
1965,6182
1964,6363
1963,6303
1962,6111
1961,6087
1960,5753
1959,5335
1958,5135
1957,4240
1956,4151
1955,3644
1954,3870
1953,3654
1952,3506
1951,3507
1950,3535
1949,3646
1948,3556
1947,3066
1946,3225
1945,2518
1944,2531
1943,2342
1942,2569
1941,2590
1940,3128
1939,3609
1938,3811
1937,3587
1936,3550
1935,3655
1934,3497
1933,3393
1932,3405
1931,2446
1930,2488
1929,2504
1928,2351
1927,2486
1926,2420
1925,2392
1924,2490
1923,2630
1922,2721
1921,3098
1920,3387
1919,2477
1918,2645
1917,2592
1916,2871
1915,2889
1914,2766
1913,2838
1912,2898
1911,3603
1910,3545
1909,3862
1908,3554
1907,3347
1906,3386
1905,3646
1904,4052
1903,4322
1902,4193
1901,3813
1900,3773
1899,3972
1898,3784
1897,3857
1896,3786
1895,3646
1894,3750
1893,3947
1892,3737
1891,3889
1890,3949
1889,4025
1888,4288
1887,4617
1886,4729
1885,3920
1884,3957
1883,3974
1882,4008
1881,4073
1880,4643
1879,4305
1878,4570
1877,4647
1876,4833
1875,2387
1874,2337
1873,2560
1872,2488
1871,2533
1870,2435
1869,1469
1868,1193
1867,1233
1866,1049
1865,1083
1864,1143
1863,1030
1862,1366
1861,979
1860,1801
1859,1612
1858,1501
1857,1791
1856,2133
1855,2010
1854,2148
1853,2000
1852,2590
1851,2290
1850,2702
1849,3554
1848,4264
1847,4936
1846,1801
1845,271
